,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_size,job_category
110,2021,Mid-level,Full-time,Data Engineer,72212,United Kingdom,Hybrid,Large,Data Engineering
111,2021,Mid-level,Full-time,Research Scientist,62649,France,Hybrid,Medium,Data Science and Research
112,2021,Entry-level,Full-time,Data Science Consultant,63831,Germany,Hybrid,Large,Data Science and Research
113,2021,Senior,Full-time,Data Analyst,63831,Germany,Hybrid,Large,Data Analysis
114,2021,Entry-level,Full-time,BI Data Analyst,55000,United States,Hybrid,Small,Data Analysis
115,2021,Senior,Full-time,AI Scientist,55000,Spain,Remote,Large,Machine Learning and AI
116,2021,Entry-level,Full-time,Data Engineer,65013,Germany,Hybrid,Medium,Data Engineering
117,2021,Mid-level,Part-time,Business Data Analyst,56000,Ghana,Remote,Medium,Data Analysis
118,2021,Entry-level,Full-time,Data Analyst,42028,Australia,Hybrid,Large,Data Analysis
119,2021,Entry-level,Full-time,Data Scientist,58000,United States,Hybrid,Large,Data Science and Research
120,2021,Mid-level,Part-time,Data Engineer,69741,Netherlands,Remote,Large,Data Engineering
121,2021,Executive,Full-time,Data Science Consultant,69741,France,Remote,Small,Data Science and Research
122,2021,Senior,Freelance,Machine Learning Developer,60000,Nigeria,Remote,Medium,Machine Learning and AI
123,2021,Mid-level,Full-time,Big Data Engineer,60000,Spain,Hybrid,Medium,Data Engineering
124,2021,Mid-level,Full-time,Data Engineer,82528,United Kingdom,Remote,Large,Data Engineering
125,2021,Entry-level,Full-time,Data Analyst,60000,United States,Remote,Small,Data Analysis
126,2021,Entry-level,Full-time,Research Scientist,82528,United Kingdom,Hybrid,Large,Data Science and Research
127,2021,Mid-level,Full-time,Data Analyst,62000,United States,In-person,Large,Data Analysis
128,2021,Entry-level,Full-time,Data Science Consultant,76833,Germany,Remote,Small,Data Science and Research
129,2021,Entry-level,Full-time,Data Science Consultant,76833,Germany,In-person,Large,Data Science and Research
130,2021,Senior,Full-time,Data Engineer,76833,Romania,Hybrid,Small,Data Engineering
131,2021,Senior,Full-time,Data Scientist,77684,France,Hybrid,Medium,Data Science and Research
132,2021,Senior,Full-time,Data Analytics Engineer,79197,Germany,Remote,Large,Leadership and Management
133,2021,Mid-level,Full-time,Applied Data Scientist,54238,United Kingdom,Hybrid,Large,Data Science and Research
134,2021,Mid-level,Full-time,Research Scientist,69999,Czechia,Hybrid,Large,Data Science and Research
135,2021,Senior,Full-time,Machine Learning Engineer,82744,Belgium,Hybrid,Medium,Machine Learning and AI
136,2021,Entry-level,Full-time,Computer Vision Software Engineer,70000,United States,Remote,Medium,Machine Learning and AI
137,2021,Senior,Full-time,Data Engineer,96282,United Kingdom,Hybrid,Large,Data Engineering
138,2021,Entry-level,Full-time,Data Engineer,72500,United States,Remote,Large,Data Engineering
139,2021,Mid-level,Full-time,Data Scientist,73000,United States,In-person,Large,Data Science and Research
140,2021,Mid-level,Full-time,Machine Learning Engineer,74000,Japan,Hybrid,Small,Machine Learning and AI
141,2021,Senior,Full-time,Marketing Data Analyst,88654,Greece,Remote,Large,Data Analysis
142,2021,Senior,Full-time,Lead Data Engineer,103160,United Kingdom,Remote,Small,Data Engineering
143,2021,Mid-level,Full-time,Machine Learning Engineer,88654,Belgium,Remote,Medium,Machine Learning and AI
144,2021,Mid-level,Full-time,Data Scientist,88654,Germany,Hybrid,Large,Data Science and Research
145,2021,Mid-level,Full-time,Data Analyst,75000,United States,In-person,Large,Data Analysis
146,2021,Mid-level,Full-time,Data Scientist,90734,Germany,Hybrid,Large,Data Science and Research
147,2021,Entry-level,Full-time,Data Scientist,80000,United States,Remote,Medium,Data Science and Research
148,2021,Entry-level,Full-time,Applied Data Scientist,110037,United Kingdom,In-person,Large,Data Science and Research
149,2021,Entry-level,Full-time,Data Engineer,80000,United States,Remote,Large,Data Engineering
150,2021,Senior,Full-time,Data Analyst,80000,Bulgaria,Remote,Small,Data Analysis
151,2021,Entry-level,Full-time,Data Analyst,80000,United States,Remote,Medium,Data Analysis
152,2021,Senior,Full-time,Machine Learning Engineer,94564,Germany,Hybrid,Large,Machine Learning and AI
153,2021,Mid-level,Full-time,Data Analyst,80000,United States,Remote,Large,Data Analysis
154,2021,Mid-level,Full-time,Research Scientist,63810,Canada,Remote,Medium,Data Science and Research
155,2021,Mid-level,Full-time,Computer Vision Software Engineer,95746,Germany,Remote,Small,Machine Learning and AI
156,2021,Entry-level,Full-time,Machine Learning Engineer,81000,United States,Hybrid,Small,Machine Learning and AI
157,2021,Mid-level,Full-time,Data Scientist,82500,United States,Remote,Small,Data Science and Research
158,2021,Senior,Full-time,Data Engineer,113476,United Kingdom,Remote,Medium,Data Engineering
159,2021,Executive,Full-time,Head of Data Science,85000,Russian Federation,In-person,Medium,Data Science and Research
160,2021,Entry-level,Full-time,Machine Learning Engineer,85000,Netherlands,Remote,Small,Machine Learning and AI
161,2021,Mid-level,Full-time,Data Scientist,116914,United Kingdom,Hybrid,Large,Data Science and Research
162,2021,Senior,Full-time,Head of Data,102839,Slovenia,Remote,Large,Leadership and Management
163,2021,Entry-level,Full-time,Marketing Data Engineer,66970,Singapore,Hybrid,Large,Data Engineering
164,2021,Mid-level,Full-time,Data Analyst,90000,United States,Remote,Medium,Data Analysis
165,2021,Mid-level,Full-time,Data Engineer,90000,United States,Remote,Large,Data Engineering
166,2021,Entry-level,Full-time,Data Analyst,90000,United States,Remote,Small,Data Analysis
167,2021,Entry-level,Full-time,Data Scientist,90000,United States,Remote,Small,Data Science and Research
168,2021,Senior,Full-time,Data Analyst,71786,Canada,Remote,Medium,Data Analysis
169,2021,Entry-level,Full-time,Data Science Consultant,90000,United States,Remote,Small,Data Science and Research
170,2021,Mid-level,Full-time,Data Analyst,93000,United States,Remote,Large,Data Analysis
171,2021,Mid-level,Full-time,Data Engineer,93150,United States,In-person,Medium,Data Engineering
172,2021,Mid-level,Full-time,Data Scientist,75774,Canada,Remote,Large,Data Science and Research
173,2021,Mid-level,Full-time,Data Engineer,75050,Australia,Hybrid,Large,Data Engineering
174,2021,Entry-level,Full-time,Data Scientist,100000,United States,In-person,Small,Data Science and Research
175,2021,Entry-level,Full-time,Machine Learning Developer,100000,Iraq,Hybrid,Small,Machine Learning and AI
176,2021,Mid-level,Full-time,Data Engineer,100000,United States,Remote,Large,Data Engineering
177,2021,Mid-level,Full-time,BI Data Analyst,100000,United States,Remote,Medium,Data Analysis
178,2021,Entry-level,Full-time,Research Scientist,100000,Jersey,In-person,Large,Data Science and Research
179,2021,Entry-level,Full-time,Data Scientist,100000,United States,Remote,Medium,Data Science and Research
180,2021,Senior,Full-time,Computer Vision Engineer,18907,Brazil,In-person,Medium,Machine Learning and AI
181,2021,Senior,Contract,Staff Data Scientist,105000,United States,Remote,Medium,Data Science and Research
182,2021,Mid-level,Full-time,Data Scientist,109000,United States,Hybrid,Large,Data Science and Research
183,2021,Executive,Full-time,Director of Data Science,130026,Germany,Hybrid,Medium,Data Science and Research
184,2021,Mid-level,Full-time,Data Engineer,28476,Poland,Remote,Large,Data Engineering
185,2021,Mid-level,Full-time,Data Analytics Engineer,110000,United States,Remote,Large,Leadership and Management
186,2021,Mid-level,Full-time,Head of Data Science,110000,United States,In-person,Small,Data Science and Research
187,2021,Mid-level,Full-time,Data Engineer,110000,United States,Remote,Large,Data Engineering
188,2021,Senior,Full-time,Data Scientist,87738,Canada,Remote,Small,Data Science and Research
189,2021,Mid-level,Full-time,Data Engineer,111775,United States,In-person,Medium,Data Engineering
190,2021,Mid-level,Full-time,Data Engineer,112000,United States,Remote,Large,Data Engineering
191,2021,Senior,Full-time,Data Analyst,115000,United States,Remote,Small,Data Analysis
192,2021,Senior,Full-time,Data Engineer,115000,United States,Remote,Small,Data Engineering
193,2021,Mid-level,Full-time,Data Scientist,115000,United States,Hybrid,Large,Data Science and Research
194,2021,Entry-level,Part-time,Computer Vision Software Engineer,19073,Denmark,Hybrid,Large,Machine Learning and AI
195,2021,Senior,Full-time,Machine Learning Scientist,120000,United States,Hybrid,Small,Machine Learning and AI
196,2021,Senior,Full-time,Data Analytics Manager,120000,United States,Remote,Medium,Leadership and Management
197,2021,Mid-level,Full-time,Cloud Data Engineer,89294,Singapore,Hybrid,Large,Data Engineering
198,2021,Executive,Full-time,Director of Data Science,141846,Germany,In-person,Large,Data Science and Research
199,2021,Senior,Full-time,Data Analytics Manager,120000,United States,In-person,Large,Leadership and Management
200,2021,Senior,Full-time,Research Scientist,96113,Canada,Hybrid,Large,Data Science and Research
201,2021,Entry-level,Full-time,Machine Learning Engineer,125000,United States,Remote,Small,Machine Learning and AI
202,2021,Senior,Full-time,Big Data Architect,99703,Canada,Hybrid,Medium,Data Architecture and Modeling
203,2021,Executive,Full-time,Director of Data Science,153667,Italy,Remote,Large,Data Science and Research
204,2021,Senior,Full-time,Data Scientist,103691,Canada,Remote,Large,Data Science and Research
205,2021,Mid-level,Full-time,Data Scientist,130000,United States,Hybrid,Large,Data Science and Research
206,2021,Mid-level,Full-time,Data Analyst,135000,United States,Remote,Large,Data Analysis
207,2021,Senior,Full-time,Data Scientist,135000,United States,In-person,Large,Data Science and Research
208,2021,Mid-level,Full-time,Data Engineer,140000,United States,Remote,Large,Data Engineering
209,2021,Senior,Full-time,Data Analytics Manager,140000,United States,Remote,Large,Leadership and Management
210,2021,Senior,Full-time,Data Science Manager,144000,United States,Remote,Large,Data Science and Research
211,2021,Mid-level,Full-time,Data Scientist,147000,United States,Hybrid,Large,Data Science and Research
212,2021,Senior,Full-time,Principal Data Scientist,173762,Germany,Remote,Medium,Data Science and Research
213,2021,Mid-level,Full-time,Data Science Lead,150000,United States,Remote,Medium,Data Science and Research
214,2021,Senior,Full-time,Data Engineer,150000,United States,In-person,Large,Data Engineering
215,2021,Mid-level,Full-time,Data Architect,150000,United States,Remote,Large,Data Architecture and Modeling
216,2021,Mid-level,Full-time,Data Scientist,150000,United States,Remote,Medium,Data Science and Research
217,2021,Executive,Full-time,BI Data Analyst,150000,India,Remote,Large,Data Analysis
218,2021,Senior,Full-time,Data Engineer,150000,United States,Remote,Medium,Data Engineering
219,2021,Senior,Full-time,Data Engineer,150000,United States,Remote,Large,Data Engineering
220,2021,Mid-level,Full-time,Principal Data Scientist,151000,United States,Remote,Large,Data Science and Research
221,2021,Senior,Full-time,Data Science Manager,152000,United States,Remote,Large,Data Science and Research
222,2021,Senior,Full-time,Data Engineer,153000,United States,Remote,Large,Data Engineering
223,2021,Senior,Full-time,Data Science Engineer,127221,Canada,Hybrid,Large,Data Science and Research
224,2021,Senior,Full-time,Cloud Data Engineer,160000,Brazil,Remote,Small,Data Engineering
225,2021,Senior,Full-time,Lead Data Engineer,160000,Puerto Rico,Hybrid,Small,Data Engineering
226,2021,Mid-level,Full-time,Data Scientist,160000,United States,Remote,Large,Data Science and Research
227,2021,Mid-level,Full-time,Data Scientist,119059,Singapore,Remote,Medium,Data Science and Research
228,2021,Senior,Full-time,Data Scientist,165000,United States,Remote,Large,Data Science and Research
229,2021,Senior,Full-time,Data Engineer,165000,United States,In-person,Medium,Data Engineering
230,2021,Senior,Full-time,Data Specialist,165000,United States,Remote,Large,Data Management and Strategy
231,2021,Senior,Full-time,Director of Data Science,168000,Japan,In-person,Small,Data Science and Research
232,2021,Mid-level,Full-time,Data Architect,170000,United States,Remote,Large,Data Architecture and Modeling
233,2021,Senior,Full-time,Lead Data Analyst,170000,United States,Remote,Large,Data Analysis
234,2021,Senior,Full-time,Principal Data Analyst,170000,United States,Remote,Medium,Data Analysis
235,2021,Senior,Full-time,Data Engineer,174000,United States,Remote,Large,Data Engineering
236,2021,Senior,Full-time,Data Science Manager,174000,United States,Remote,Large,Data Science and Research
237,2021,Mid-level,Full-time,Data Architect,180000,United States,Remote,Large,Data Architecture and Modeling
238,2021,Senior,Full-time,Data Scientist,20171,Türkiye,Hybrid,Large,Data Science and Research
239,2021,Mid-level,Full-time,Machine Learning Engineer,46597,Poland,Remote,Large,Machine Learning and AI
240,2021,Entry-level,Part-time,Computer Vision Engineer,28609,Denmark,Hybrid,Small,Machine Learning and AI
241,2021,Senior,Full-time,Staff Machine Learning Engineer,185000,United States,Hybrid,Medium,Machine Learning and AI
242,2021,Senior,Full-time,Machine Learning Engineer,185000,United States,Hybrid,Large,Machine Learning and AI
243,2021,Senior,Full-time,Principal Data Engineer,185000,United States,Remote,Large,Data Engineering
244,2021,Senior,Full-time,Machine Learning Infrastructure Engineer,195000,United States,Remote,Medium,Machine Learning and AI
245,2021,Senior,Full-time,Principal Data Engineer,200000,United States,Remote,Medium,Data Engineering
246,2021,Mid-level,Full-time,Data Engineer,200000,United States,Remote,Large,Data Engineering
247,2021,Senior,Full-time,Data Analyst,200000,United States,Remote,Large,Data Analysis
248,2021,Senior,Full-time,Data Engineer,200000,United States,Remote,Large,Data Engineering
249,2021,Senior,Full-time,Machine Learning Engineer,200000,United States,Remote,Large,Machine Learning and AI
250,2021,Senior,Full-time,Principal Data Scientist,220000,United States,In-person,Large,Data Science and Research
251,2021,Entry-level,Full-time,Machine Learning Scientist,225000,United States,Remote,Large,Machine Learning and AI
252,2021,Senior,Full-time,Machine Learning Scientist,225000,United States,Remote,Large,Machine Learning and AI
253,2021,Executive,Full-time,Head of Data,230000,Russian Federation,Hybrid,Large,Leadership and Management
254,2021,Executive,Full-time,Head of Data,235000,United States,Remote,Large,Leadership and Management
255,2021,Mid-level,Full-time,Research Scientist,187442,Canada,Remote,Large,Data Science and Research
256,2021,Senior,Full-time,Principal Data Scientist,235000,United States,Remote,Large,Data Science and Research
257,2021,Senior,Full-time,Data Science Manager,240000,United States,In-person,Large,Data Science and Research
258,2021,Senior,Full-time,Cloud Data Architect,250000,United States,Hybrid,Large,Data Architecture and Modeling
259,2021,Executive,Full-time,Director of Data Science,250000,United States,In-person,Large,Data Science and Research
260,2021,Mid-level,Full-time,Data Engineer,28016,Türkiye,Remote,Medium,Data Engineering
261,2021,Senior,Full-time,ML Engineer,256000,United States,Remote,Small,Machine Learning and AI
262,2021,Mid-level,Contract,ML Engineer,270000,United States,Remote,Large,Machine Learning and AI
263,2021,Senior,Full-time,Lead Data Engineer,276000,United States,In-person,Large,Data Engineering
264,2021,Executive,Contract,Principal Data Scientist,416000,United States,Remote,Small,Data Science and Research
265,2021,Mid-level,Full-time,Applied Machine Learning Scientist,423000,United States,Hybrid,Large,Machine Learning and AI
266,2022,Mid-level,Full-time,Business Intelligence Developer,15000,Ghana,Remote,Medium,BI and Visualization
267,2022,Entry-level,Full-time,Data Analyst,15000,Indonesia,In-person,Large,Data Analysis
268,2022,Entry-level,Full-time,Research Engineer,16455,Russian Federation,Remote,Medium,Data Science and Research
269,2022,Entry-level,Full-time,Data Analyst,20000,Costa Rica,Hybrid,Medium,Data Analysis
270,2022,Mid-level,Full-time,Data Analyst,20000,Greece,Remote,Small,Data Analysis
271,2022,Entry-level,Full-time,Data Analytics Engineer,20000,Pakistan,In-person,Medium,Leadership and Management
272,2022,Entry-level,Full-time,ML Engineer,21013,Portugal,Remote,Large,Machine Learning and AI
273,2022,Mid-level,Full-time,Machine Learning Scientist,22800,Egypt,Remote,Medium,Machine Learning and AI
274,2022,Mid-level,Full-time,Research Scientist,23000,India,Remote,Large,Data Science and Research
275,2022,Entry-level,Full-time,Data Science Consultant,24165,Italy,Hybrid,Medium,Data Science and Research
276,2022,Entry-level,Part-time,Data Analyst,25216,Spain,Remote,Large,Data Analysis
277,2022,Mid-level,Full-time,Data Engineer,24000,United States,In-person,Medium,Data Engineering
278,2022,Mid-level,Full-time,Data Scientist,25000,Türkiye,Hybrid,Medium,Data Science and Research
279,2022,Senior,Full-time,Data Engineer,25000,United States,Remote,Medium,Data Engineering
280,2022,Entry-level,Full-time,Data Science Consultant,27317,Spain,Hybrid,Large,Data Science and Research
281,2022,Entry-level,Full-time,Data Scientist,33246,United Kingdom,Hybrid,Large,Data Science and Research
282,2022,Entry-level,Full-time,Data Analyst,28368,France,Hybrid,Medium,Data Analysis
283,2022,Senior,Full-time,Lead Data Scientist,29944,Portugal,Hybrid,Small,Data Science and Research
284,2022,Entry-level,Full-time,Machine Learning Engineer,35093,United Kingdom,Remote,Large,Machine Learning and AI
285,2022,Entry-level,Contract,Applied Machine Learning Scientist,30469,Tunisia,Remote,Medium,Machine Learning and AI
286,2022,Entry-level,Full-time,AI Research Engineer,36940,United Kingdom,Remote,Large,Data Science and Research
287,2022,Mid-level,Full-time,Data Scientist,30000,Mexico,Remote,Large,Data Science and Research
288,2022,Entry-level,Full-time,AI Scientist,31520,Portugal,Remote,Medium,Machine Learning and AI
289,2022,Entry-level,Full-time,Data Scientist,31520,Spain,Hybrid,Medium,Data Science and Research
290,2022,Entry-level,Full-time,Machine Learning Engineer,30000,United Kingdom,Remote,Large,Machine Learning and AI
291,2022,Mid-level,Full-time,Data Analyst,36940,United Kingdom,Remote,Medium,Data Analysis
292,2022,Mid-level,Full-time,Data Analyst,31520,Spain,Remote,Medium,Data Analysis
293,2022,Mid-level,Full-time,Data Analyst,31520,Greece,Remote,Medium,Data Analysis
294,2022,Mid-level,Full-time,Data Scientist,36940,United Kingdom,In-person,Medium,Data Science and Research
295,2022,Mid-level,Full-time,Head of Data,31520,Estonia,Remote,Small,Leadership and Management
296,2022,Entry-level,Full-time,Machine Learning Developer,33000,Italy,Remote,Small,Machine Learning and AI
